amount,location,device,time,is_fraud
93.24,Lagos,Desktop,1,1
21.24,Mumbai,POS,1,0
152.25,Moscow,Desktop,18,0
187.66,Moscow,Desktop,0,0
7.8,London,POS,12,0
15.92,Mumbai,Mobile,4,0
76.76,Mumbai,ATM,16,1
47.09,Lagos,Desktop,2,0
65.47,London,Desktop,6,0
26.09,Sao Paulo,ATM,12,0
175.45,,Mobile,9,0
156.89,Sydney,ATM,4,0
71.71,Moscow,ATM,1,1
230.43,Singapore,Mobile,0,1
111.53,Singapore,Mobile,4,0
25.91,Moscow,POS,6,0
100.05,New York,Mobile,2,0
23.22,Sao Paulo,POS,12,0
175.26,Lagos,Mobile,21,0
63.12,Mumbai,Mobile,17,0
54.42,Tokyo,Desktop,7,0
31.53,Moscow,POS,10,0
255.9,London,POS,18,0
56.26,Moscow,Tablet,23,1
41.63,Dubai,Mobile,13,0
45.27,Sao Paulo,Desktop,4,0
119.77,Dubai,Mobile,20,0
99.68,Sydney,Mobile,12,0
105.0,Sydney,Mobile,0,0
107.12,New York,Desktop,6,0
703.32,Dubai,Mobile,12,1
42.65,Mumbai,Mobile,19,0
37.96,Dubai,Tablet,20,0
27.24,London,Mobile,4,0
131.31,Lagos,ATM,17,1
230.87,London,Desktop,23,1
58.83,Moscow,Mobile,19,0
26.47,Dubai,ATM,17,0
26.93,Sydney,Desktop,19,0
136.41,Tokyo,POS,13,0
151.05,,Desktop,14,0
121.2,Dubai,Desktop,12,0
32.07,Sao Paulo,Tablet,22,0
86.09,Moscow,Desktop,8,0
75.82,London,Desktop,18,0
84.82,Singapore,Mobile,0,0
173.92,Sydney,Mobile,10,0
85.28,Singapore,Mobile,21,0
140.72,New York,POS,5,0
71.83,Tokyo,Mobile,19,0
91.65,Sydney,ATM,12,0
133.54,Moscow,Mobile,3,0
,Moscow,Desktop,2,1
46.92,Singapore,Mobile,2,0
39.75,Singapore,Tablet,11,0
33.02,Sydney,POS,7,0
49.27,Tokyo,Desktop,21,0
345.31,Dubai,Desktop,18,0
25.73,Singapore,POS,3,0
193.47,London,Mobile,12,0
10.47,New York,Desktop,18,0
46.14,Dubai,POS,15,0
,Lagos,Mobile,0,0
127.08,Moscow,Tablet,0,0
145.82,Tokyo,POS,14,0
159.6,Singapore,Mobile,22,0
45.44,London,Mobile,1,0
40.1,Tokyo,Desktop,3,0
171.36,Sao Paulo,POS,4,1
54.03,Lagos,Desktop,7,0
16.39,New York,Desktop,21,0
